Visa Type,Category,Purpose / Use Case,Visa Fee,Mapped Categories Array,Currency,Source_Country,Mapped Categories Array (Cleaned)
Freelancer Visa,Work,Freelancers or self-employed professionals,75.0,['Work/Employment'],EUR,Germany,['Work/Employment']
Research Visa,Academic,Researchers invited by recognized institution,75.0,['Study'],EUR,Germany,['Study']
Family Reunion Visa,Family,Join spouse or family member living in Germany,75.0,['Family / Friends-related'],EUR,Germany,['Family / Friends-related']
Au Pair Visa,Work/Cultural Exchange,Young adults assisting host families with childcare,75.0,"['Work/Employment', 'Cultural Exchange']",EUR,Germany,"['Work/Employment', 'Cultural Exchange']"
Volunteer Visa (FSJ/BFD),Social Service,Voluntary social year programs,75.0,['Cultural Exchange'],EUR,Germany,['Cultural Exchange']
Settlement Permit,Permanent Residence,Permanent residency after legal stay and integration,0.0,['Residency'],EUR,Germany,['Residency']
Refugee/Asylum,Humanitarian,Protection for those fearing persecution,0.0,['Asylum/Humanitarian'],EUR,Germany,['Asylum/Humanitarian']
Short-stay Schengen Visa,Tourism/Business,"Tourism, family or business (≤90 days)",80,"[‘Tourism & Sightseeing’, ’Business', 'Family / Friends-related']",EUR,Spain,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Airport Transit Visa,Transit,Airside transit through Spanish airports,80,['Transit'],EUR,Spain,['Transit']
Long-stay National Visa,,"Stays >90 days for study, work, or family",60–80,"['Family / Friends-related', 'Study', 'Work/Employment']",EUR,Spain,"['Family / Friends-related', 'Study', 'Work/Employment']"
Student Visa,Study,"University, language or vocational study programs",60,"[‘Study’, 'Work/Employment']",EUR,Spain,"['Study', 'Work/Employment']"
Work Visa,Work,Skilled and unskilled employment contracts,60,['Work/Employment'],EUR,Spain,['Work/Employment']
EntreprenVisa,Work,Startups and innovation-based businesses,60,"[‘Business’, ’Work/Employment']",EUR,Spain,"['Business', 'Work/Employment']"
Digital Nomad Visa,Work,Remote workers employed by non-Spanish companies,60,['Work/Employment'],EUR,Spain,['Work/Employment']
Non-lucrative Visa,,Living in Spain without working,80,[‘Residency'],EUR,Spain,['Residency']
Family Reunification Visa,,"Spouses, children, dependent relatives",80,['Family / Friends-related'],EUR,Spain,['Family / Friends-related']
Volunteer Visa,Exchange,NGO-supported youth and social work,80,"['Work/Employment', 'Cultural Exchange']",EUR,Spain,"['Work/Employment', 'Cultural Exchange']"
Tourist Visa,Tourism/Business,Tourism for up to 30 days,40–160,['Tourism & Sightseeing'],USD,Russia,['Tourism & Sightseeing']
Business Visa,Tourism/Business,"Meetings, conferences, trade missions",160,['Business'],USD,Russia,['Business']
Student Visa,Study,Full-time education at Russian institutions,80–160,['Study'],USD,Russia,['Study']
Work Visa,Work,Employment contracts or government-invited jobs,160,"['Work/Employment', 'Diplomatic/Official']",USD,Russia,"['Work/Employment', 'Diplomatic/Official']"
Humanitarian Visa,Exchange,"Cultural, scientific, religious exchanges",160,"['Cultural Exchange', 'Asylum/Humanitarian']",USD,Russia,"['Cultural Exchange', 'Asylum/Humanitarian']"
Transit Visa,Transit,Land/air transit through Russia,40,['Transit'],USD,Russia,['Transit']
Highly Qualified Specialist Visa,Work,Fast-track for top professionals,160,['Work/Employment'],USD,Russia,['Work/Employment']
Short-stay Schengen Visa,Tourism/Business,"Tourism, business meetings, family visits (≤90 days)",80.00,"[‘Tourism & Sightseeing’, ’Business', 'Family / Friends-related']",CHF,Switzerland,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Airport Transit Visa,Transit,Transit through Swiss airports,80.00,['Transit'],CHF,Switzerland,['Transit']
National Visa (Type D),,"Long-term stay >90 days (study, work, reunification)",99.00,"['Study', ‘Work/Employment’, 'Family / Friends-related']",CHF,Switzerland,"['Study', 'Work/Employment', 'Family / Friends-related']"
Student Visa,Study,University or academic programs >90 days,99.00,['Study'],CHF,Switzerland,['Study']
Work Visa (Permit B or L),Work,"Skilled employment, dependent on canton approval",88–99,['Work/Employment'],CHF,Switzerland,['Work/Employment']
Research Visa,Work,Scientific collaboration or fellowship participation,99,['Work/Employment'],CHF,Switzerland,['Work/Employment']
Family Reunification Visa,,Spouse/child of Swiss/EU resident,99,"['Family / Friends-related', 'Residency']",CHF,Switzerland,"['Family / Friends-related', 'Residency']"
Au Pair Visa,Exchange,Language and cultural exchange with host family,99,[‘Cultural Exchange’],CHF,Switzerland,['Cultural Exchange']
Internship Visa,Vocational,Professional training or internships,99,[‘Study’],CHF,Switzerland,['Study']
Cultural/Sports Visa,Exchange,Participation in international cultural or sports events,99,['Cultural Exchange'],CHF,Switzerland,['Cultural Exchange']
B-1,Business Visitor,Temporary business travel,185,['Business'],USD,US,['Business']
B-2,Tourist Visitor,"Leisure travel, medical treatment",185,"['Tourism & Sightseeing', 'Medical']",USD,US,"['Tourism & Sightseeing', 'Medical']"
F-1,Student (Academic),Full-time study at accredited institution,185,['Study'],USD,US,['Study']
M-1,Student (Vocational),Non-academic or vocational study,185,"[‘Study’, ‘Work/Employment’]",USD,US,"['Study', 'Work/Employment']"
J-1,Exchange Visitor,"Cultural exchange, includes many subcategories",185,['Cultural Exchange'],USD,US,['Cultural Exchange']
H-1B,Skilled Worker,Specialty occupation requiring degree,205,['Work/Employment'],USD,US,['Work/Employment']
C-1,Transit Visa,Passing through U.S. en route to another country,185,['Transit'],USD,US,['Transit']
IR1/CR1,Spouse of U.S. Citizen,Marriage-based green card,325,['Family / Friends-related'],USD,US,['Family / Friends-related']
F1,Family 1st Preference,Unmarried sons/daughters of citizens,325,['Family / Friends-related'],USD,US,['Family / Friends-related']
F2A/F2B,Family 2nd Preference,Spouse/children of green card holders,325,['Family / Friends-related'],USD,US,['Family / Friends-related']
F3,Family 3rd Preference,Married sons/daughters of citizens,325,['Family / Friends-related'],USD,US,['Family / Friends-related']
F4,Family 4th Preference,Siblings of U.S. citizens,325,['Family / Friends-related'],USD,US,['Family / Friends-related']
EB-1,Employment 1st Preference,"Extraordinary ability, executives",345,['Work/Employment'],USD,US,['Work/Employment']
EB-2,Employment 2nd Preference,Advanced degree holders,345,['Work/Employment'],USD,US,['Work/Employment']
EB-3,Employment 3rd Preference,Skilled/unskilled workers,345,['Work/Employment'],USD,US,['Work/Employment']
Refugee/Asylee,Humanitarian,Protection from persecution,0,['Asylum/Humanitarian'],USD,US,['Asylum/Humanitarian']
Tourist Visa,Tourism/Business,Short tourism or family visits,3.000,"['Tourism & Sightseeing', 'Family / Friends-related']",KWD,Kuwait,"['Tourism & Sightseeing', 'Family / Friends-related']"
Business Visa,Tourism/Business,"Conferences, business meetings",3.000,['Business'],KWD,Kuwait,['Business']
Work Visa,Work,Contracted employment in Kuwait,50.000,['Work/Employment'],KWD,Kuwait,['Work/Employment']
Student Visa,Study,Academic enrollment in Kuwait,50.000,['Study'],KWD,Kuwait,['Study']
Family Visa,,Dependents joining residents,10.000,['Family / Friends-related'],KWD,Kuwait,['Family / Friends-related']
Multiple Entry Visa,Tourism/Business,Business travelers or residents abroad,10.000,['Business'],KWD,Kuwait,['Business']
Visitor Visa (subclass 600),Tourism/Business,"Tourism, family visits, short business trips",190,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']",AUD,Australia,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Student Visa (subclass 500),Study,Full-time study at an Australian institution,710,['Study'],AUD,Australia,['Study']
Temporary Graduate Visa (subclass 485),Work,Work after study (post-graduation),"1,895","['Study', 'Work/Employment']",AUD,Australia,"['Study', 'Work/Employment']"
Skilled Independent Visa (subclass 189),Work,Permanent residency for skilled workers,"4,640","['Work/Employment', 'Residency']",AUD,Australia,"['Work/Employment', 'Residency']"
Employer Nomination Scheme (subclass 186),Work,Employer-sponsored permanent visa,"4,640","['Work/Employment', 'Residency']",AUD,Australia,"['Work/Employment', 'Residency']"
Temporary Skill Shortage Visa (subclass 482),Work,Temporary skilled workers,"1,455–3,035",['Work/Employment'],AUD,Australia,['Work/Employment']
Working Holiday Visa (subclass 417),Work,Young adults aged 18–30 from eligible countries,635,"['Tourism & Sightseeing', 'Work/Employment']",AUD,Australia,"['Tourism & Sightseeing', 'Work/Employment']"
Transit Visa (subclass 771),Transit,Transit through Australia for up to 72 hours,Free,['Transit'],AUD,Australia,['Transit']
Visitor Visa (TRV),Tourism/Business,Visit Canada for tourism or business,100.0,"['Tourism & Sightseeing', 'Business']",CAD,Canada,"['Tourism & Sightseeing', 'Business']"
Super Visa,Family,Long-term visits for parents/grandparents of citizens,100.0,['Family / Friends-related'],CAD,Canada,['Family / Friends-related']
Study Permit,Study,Full-time academic/vocational studies in Canada,150.0,"[‘Study’, ‘Work/Employment’]",CAD,Canada,"['Study', 'Work/Employment']"
Post-Graduation Work Permit,Post-Study Work,Work after graduation from eligible institutions,255.0,"['Study', 'Work/Employment']",CAD,Canada,"['Study', 'Work/Employment']"
Open Work Permit,Work,Work without a specific employer (e.g. spouse of student),255.0,"['Family / Friends-related', 'Study', 'Work/Employment']",CAD,Canada,"['Family / Friends-related', 'Study', 'Work/Employment']"
Employer-Specific Work Permit,Work,Job-specific permit tied to employer,155.0,['Work/Employment'],CAD,Canada,['Work/Employment']
Express Entry (FSW),Permanent Residence,"Skilled workers based on education, language, experience",1525.0,"['Study', 'Work/Employment', 'Residency']",CAD,Canada,"['Study', 'Work/Employment', 'Residency']"
Express Entry (CEC),Permanent Residence,Canadian experience class – work experience in Canada,1525.0,"['Work/Employment', 'Residency']",CAD,Canada,"['Work/Employment', 'Residency']"
Express Entry (FST),Permanent Residence,Skilled trades professionals,1525.0,"['Work/Employment', 'Residency']",CAD,Canada,"['Work/Employment', 'Residency']"
Provincial Nominee Program (PNP),Permanent Residence,Selected by province to settle in specific area,1525.0,['Residency'],CAD,Canada,['Residency']
Start-Up Visa,Business Immigration,Innovative entrepreneurs with funding/support,2075.0,"[‘Business’, ‘Residency’]",CAD,Canada,"['Business', 'Residency']"
Self-Employed Persons,Business Immigration,Cultural/athletic contributors,2075.0,"[‘Business’, ‘Residency’]",CAD,Canada,"['Business', 'Residency']"
Spouse/Partner Sponsorship,Family,Join spouse or partner in Canada,1080.0,['Family / Friends-related'],CAD,Canada,['Family / Friends-related']
Refugee Claimant,Humanitarian,Protection for those fearing persecution,0.0,['Asylum/Humanitarian'],CAD,Canada,['Asylum/Humanitarian']
IEC (Working Holiday),Work/Travel,18–35 y.o. from eligible countries to travel & work,161.0,"['Tourism & Sightseeing', 'Work/Employment']",CAD,Canada,"['Tourism & Sightseeing', 'Work/Employment']"
Tourist Visa (e-Visa),Tourism/Business,"Short visit for leisure, family or business",30,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']",SGD,Singapore,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Employment Pass (EP),Work,"Professionals with job offer earning ≥SGD 5,000/month",105–225,['Work/Employment'],SGD,Singapore,['Work/Employment']
S Pass,Work,"Mid-skilled staff earning ≥SGD 3,150/month",105–175,['Work/Employment'],SGD,Singapore,['Work/Employment']
Work Permit,Work,"Low-skilled jobs (construction, services)",35–100,['Work/Employment'],SGD,Singapore,['Work/Employment']
Student Pass,Study,For academic or vocational studies,30,['Study'],SGD,Singapore,['Study']
Training Work Permit,Vocational,Internships or short technical training,30,['Work/Employment'],SGD,Singapore,['Work/Employment']
EntrePass,Work,Entrepreneurs launching startups,105,[‘Business'],SGD,Singapore,['Business']
Visit eVisa,Tourism/Business,Tourism or family visits up to 30 days,29,"[‘Tourism & Sightseeing’, 'Family / Friends-related']",BHD,Bahrain,"['Tourism & Sightseeing', 'Family / Friends-related']"
Business Visa,Tourism/Business,"Commercial visits, meetings, or events",29,['Business'],BHD,Bahrain,['Business']
Work Visa,Work,Employment with Bahraini sponsor,100,['Work/Employment'],BHD,Bahrain,['Work/Employment']
Family Reunification Visa,,Joining a spouse or sponsor,40,['Family / Friends-related'],BHD,Bahrain,['Family / Friends-related']
Student Visa,Study,Full-time university studies,60,['Study'],BHD,Bahrain,['Study']
Multiple Entry Visa,Tourism/Business,Frequent travel over 1–3 months,60,"['Tourism & Sightseeing’, ‘Business']",BHD,Bahrain,"['Tourism & Sightseeing', 'Business']"
Standard Visitor,Tourism/Business,"Tourism, business meetings, medical treatment",160,"['Tourism & Sightseeing', 'Business', 'Medical']",GBP,UK,"['Tourism & Sightseeing', 'Business', 'Medical']"
Marriage Visitor,Marriage/Civil Partnership,Get married or form a civil partnership in the UK,160,[‘Family / Friends-related’],GBP,UK,['Family / Friends-related']
Permitted Paid Engagement (PPE),Short-Term Work,"Experts invited for short engagements, e.g., artists, lecturers",160,['Work/Employment'],GBP,UK,['Work/Employment']
Student Visa,Study,Full-time academic study in UK institution,490,['Study'],GBP,UK,['Study']
Child Student,Study,Children 4-17 studying at independent schools,490,['Study'],GBP,UK,['Study']
Graduate Visa,Post-Study Work,Stay in the UK for 2–3 years after graduation,890,['Work/Employment'],GBP,UK,['Work/Employment']
Skilled Worker,Work,Job offer in eligible skilled occupation,890,['Work/Employment'],GBP,UK,['Work/Employment']
Health and Care Worker,Work,Skilled workers in health and social care,0,['Work/Employment'],GBP,UK,['Work/Employment']
Global Talent,Work,Leaders or potential leaders in academia or arts,740,['Work/Employment'],GBP,UK,['Work/Employment']
Start-up,Business,New entrepreneurs starting an innovative business,480,['Business'],GBP,UK,['Business']
Innovator Founder,Business,Experienced entrepreneurs with viable business plans,1270,['Business'],GBP,UK,['Business']
High Potential Individual,Work,Graduates from top global universities,370,['Work/Employment'],GBP,UK,['Work/Employment']
Youth Mobility Scheme,Work/Travel,18–30 y.o. from eligible countries for 2 years,310,"[‘Study’, ’Work/Employment’]",GBP,UK,"['Study', 'Work/Employment']"
Family Visa,Family Reunion,"Join family in the UK (spouse, partner, child)",2100,['Family / Friends-related'],GBP,UK,['Family / Friends-related']
UK Ancestry,Work/Settlement,Commonwealth citizens with UK-born grandparent,750,"['Work/Employment', ‘Study']",GBP,UK,"['Work/Employment', 'Study']"
Transit Visa,Transit,Pass through UK en route to another country,88,['Transit'],GBP,UK,['Transit']
Tourist eVisa,Tourism/Business,Single or multiple entry (10 or 30 days),20.000,['Tourism & Sightseeing'],OMR,Oman,['Tourism & Sightseeing']
Business Visa,Tourism/Business,Business visits or commercial purpose,30.000,['Business'],OMR,Oman,['Business']
Work Visa,Work,Omani sponsor required; long-term employment,50.000,['Work/Employment'],OMR,Oman,['Work/Employment']
Student Visa,Study,For accredited educational programs,20.000,['Study'],OMR,Oman,['Study']
Family Joining Visa,,Spouses or children of residents,20.000,['Family / Friends-related'],OMR,Oman,['Family / Friends-related']
Short-stay Schengen Visa,Tourism/Business,"Tourism, family or business visits (≤90 days)",80,"[‘Tourism & Sightseeing’, ’Business', 'Family / Friends-related']",EUR,Italy,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Airport Transit Visa,Transit,Airport layovers or connecting flights,80,['Transit'],EUR,Italy,['Transit']
National Visa (Type D),,"Long-stay purposes (work, study, reunification)",116,"['Study', ‘Work/Employment’, ‘Family / Friends-related’]",EUR,Italy,"['Study', 'Work/Employment', 'Family / Friends-related']"
Student Visa,Study,"University, language programs >90 days",50,['Study'],EUR,Italy,['Study']
Work Visa,Work,Sponsored employment under Decreto Flussi quota,116,['Work/Employment'],EUR,Italy,['Work/Employment']
Self-employment Visa,Work,"Freelancers, entrepreneurs, consultants",116,"[‘Work/Employment’, ‘Business’]",EUR,Italy,"['Work/Employment', 'Business']"
Seasonal Work Visa,Work,Agricultural and tourism sector jobs,116,['Work/Employment'],EUR,Italy,['Work/Employment']
Religious Visa,,Religious service or training,80,"['Cultural Exchange’, ‘Religious’]",EUR,Italy,"['Cultural Exchange', 'Religious']"
Volunteer Visa,Exchange,Community service with Italian NGO,80,['Cultural Exchange'],EUR,Italy,['Cultural Exchange']
Family Reunification Visa,,Joining relatives legally residing in Italy,116,['Family / Friends-related'],EUR,Italy,['Family / Friends-related']
Tourist Visa,Tourism/Business,"Single-entry, up to 30 days",100.00,['Tourism & Sightseeing'],QAR,Qatar,['Tourism & Sightseeing']
Business Visa,Tourism/Business,Short-term work/business trips,200.00,"['Business', 'Work/Employment']",QAR,Qatar,"['Business', 'Work/Employment']"
Work Visa,Work,Sponsored long-term employment,300.00,['Work/Employment'],QAR,Qatar,['Work/Employment']
Student Visa,Study,Enrolled full-time in Qatari institution,200.00,['Study'],QAR,Qatar,['Study']
Family Visa,,Dependent family members of expats,200.00,['Family / Friends-related'],QAR,Qatar,['Family / Friends-related']
GCC Resident Visa,,GCC residents entering Qatar,100.00,"[‘Tourism & Sightseeing’, ’Business', 'Family / Friends-related']",QAR,Qatar,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Tourist/Business e-Visa,Tourism/Business,Short stays for tourism or business,50–100,"['Tourism & Sightseeing', 'Business']",USD,Turkey,"['Tourism & Sightseeing', 'Business']"
Airport Transit Visa,Transit,Transit through Turkish airports,50,['Transit'],USD,Turkey,['Transit']
Student Visa,Study,Degree and non-degree studies,80,['Study'],USD,Turkey,['Study']
Work Visa,Work,Employment in Turkish firms,140,['Work/Employment'],USD,Turkey,['Work/Employment']
Internship Visa,Vocational,Corporate or academic internships,80,"['Study', 'Cultural Exchange’, ‘Work/Employment’]",USD,Turkey,"['Study', 'Cultural Exchange', 'Work/Employment']"
Research Visa,Vocational,Field research or academic collaboration,80,"['Study', 'Cultural Exchange']",USD,Turkey,"['Study', 'Cultural Exchange']"
Family Reunification Visa,,Spouse/children of legal residents,80,['Family / Friends-related'],USD,Turkey,['Family / Friends-related']
Medical Treatment Visa,,Approved treatment in Turkish institutions,80,['Medical'],USD,Turkey,['Medical']
Cultural/Sports Visa,Exchange,Short-term participation in cultural/sports activities,80,['Cultural Exchange'],USD,Turkey,['Cultural Exchange']
Tourist Visa (Short-term),Tourism/Business,"Tourism, valid 30 days",330.00,"['Tourism & Sightseeing', 'Business']",AED,UAE,"['Tourism & Sightseeing', 'Business']"
Tourist Visa (Long-term),Tourism/Business,"Tourism, valid 90 days",650.00,"['Tourism & Sightseeing', 'Business']",AED,UAE,"['Tourism & Sightseeing', 'Business']"
Multiple Entry Tourist Visa,Tourism/Business,"Tourism, valid for 5 years with multiple entries",650.00,"['Tourism & Sightseeing', 'Business']",AED,UAE,"['Tourism & Sightseeing', 'Business']"
Business Visa,Tourism/Business,Business setup or meetings,700.00,['Business'],AED,UAE,['Business']
Work Visa,Work,Sponsorship by UAE employer,500–1200,['Work/Employment'],AED,UAE,['Work/Employment']
Student Visa,Study,Higher education in UAE universities,300–700,['Study'],AED,UAE,['Study']
Transit Visa (48-96 hours),Transit,Layovers for 48 or 96 hours,50–100,['Transit'],AED,UAE,['Transit']
Visitor (V) Visa,Tourism/Business,"Tourism, business, events",82,"['Tourism & Sightseeing', 'Business']",USD,Colombia,"['Tourism & Sightseeing', 'Business']"
Migrant (M) Visa,,"Work, study, family, permanent residence pathway",282,"['Family / Friends-related', 'Study', 'Work/Employment', 'Residency']",USD,Colombia,"['Family / Friends-related', 'Study', 'Work/Employment', 'Residency']"
Resident (R) Visa,,Long-term residency (after 5 years in M),430,['Residency'],USD,Colombia,['Residency']
Student Visa,Study,Academic studies in Colombia,67,['Study'],USD,Colombia,['Study']
Work Visa,Work,Formal work contracts,282,['Work/Employment'],USD,Colombia,['Work/Employment']
Transit Visa,Transit,Short stay en route to another country,52,['Transit'],USD,Colombia,['Transit']
Tourist Visa (Single Entry),Tourism/Business,Tourism up to 60 days,"2,000.00","['Tourism & Sightseeing', 'Business']",THB,Thailand,"['Tourism & Sightseeing', 'Business']"
Tourist Visa (Multiple Entry),Tourism/Business,"Tourism for 6 months, 60-day stays","5,000.00","['Tourism & Sightseeing', 'Business']",THB,Thailand,"['Tourism & Sightseeing', 'Business']"
Visa on Arrival,Tourism/Business,15-day entry for eligible countries,"2,000.00","['Tourism & Sightseeing', 'Business']",THB,Thailand,"['Tourism & Sightseeing', 'Business']"
Non-Immigrant B Visa,Work,"Business, employment","2,000.00","['Business', 'Work/Employment']",THB,Thailand,"['Business', 'Work/Employment']"
Education Visa (ED),Study,Academic enrollment,"2,000.00",['Study'],THB,Thailand,['Study']
SMART Visa,Work,"Experts, investors, executives in tech sectors","10,000.00",['Work/Employment'],THB,Thailand,['Work/Employment']
Transit Visa,Transit,Transit up to 30 days,800.00,['Transit'],THB,Thailand,['Transit']
Tourist Visa (eVisa),Tourism/Business,30-day single entry,25,"['Tourism & Sightseeing', 'Business']",USD,Vietnam,"['Tourism & Sightseeing', 'Business']"
Tourist Visa (multiple entry),Tourism/Business,30–90 days,50–95,"['Tourism & Sightseeing', 'Business']",USD,Vietnam,"['Tourism & Sightseeing', 'Business']"
Business Visa (DN),Tourism/Business,Short business trips,80–150,['Business'],USD,Vietnam,['Business']
Work Visa (LD),Work,Employment in Vietnam,100–155,['Work/Employment'],USD,Vietnam,['Work/Employment']
Student Visa,Study,Education in Vietnamese institutions,50–100,['Study'],USD,Vietnam,['Study']
Temporary Residence Card,,"For work, study or family >1 year",145–155,"['Family / Friends-related', 'Study', 'Work/Employment']",USD,Vietnam,"['Family / Friends-related', 'Study', 'Work/Employment']"
Transit Visa,Transit,For connecting flights,15,['Transit'],USD,Vietnam,['Transit']
Tourist eVisa,Tourism/Business,"Leisure travel, 1-year multiple entry",535.00,"['Tourism & Sightseeing', ‘Business’, ‘Religious’]",SAR,Si_Arabia,"['Tourism & Sightseeing', 'Business', 'Religious']"
Business Visa,Tourism/Business,Commercial activities,807.00,['Business'],SAR,Si_Arabia,['Business']
Work Visa,Work,Employment sponsorship required,750.00,['Work/Employment'],SAR,Si_Arabia,['Work/Employment']
Student Visa,Study,Higher education programs,100.00,['Study'],SAR,Si_Arabia,['Study']
Family Visit Visa,,Visiting relatives,300.00,['Family / Friends-related'],SAR,Si_Arabia,['Family / Friends-related']
Umrah Visa,Tourism/Business,Religious pilgrimage (Umrah),300.00,[‘Religious'],SAR,Si_Arabia,['Religious']
Transit Visa,Transit,Stopover up to 96 hours,0.00,['Transit'],SAR,Si_Arabia,['Transit']
Tourist Visa,Tourism/Business,"Leisure, sightseeing, or family visits (90 days)",150,"['Tourism & Sightseeing', 'Family / Friends-related']",USD,Argentina,"['Tourism & Sightseeing', 'Family / Friends-related']"
Business Visa,Tourism/Business,"Meetings, trade shows, conferences",200,['Business'],USD,Argentina,['Business']
Work Visa,Work,Employment contracts with Argentinian companies,250,['Work/Employment'],USD,Argentina,['Work/Employment']
Student Visa,Study,Full-time academic programs,150,['Study'],USD,Argentina,['Study']
Temporary Residence Visa,,"Work, study, religious or dependent family reunification",250,"['Family / Friends-related', 'Study', 'Work/Employment']",USD,Argentina,"['Family / Friends-related', 'Study', 'Work/Employment']"
Transit Visa,Transit,Transit through Argentina (max 10 days),40,['Transit'],USD,Argentina,['Transit']
Tourist Visa,Tourism/Business,Sightseeing or visiting friends/family,80,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']",USD,Brazil,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Business Visa,Tourism/Business,Business negotiations and meetings,100,['Business'],USD,Brazil,['Business']
Work Visa (VITEM V),Work,Formal job offers and labor contracts,290,['Work/Employment'],USD,Brazil,['Work/Employment']
Student Visa (VITEM IV),Study,University or language programs,100,"[‘Study’, ‘Cultural Exchange’]",USD,Brazil,"['Study', 'Cultural Exchange']"
Cultural/Research Visa,Exchange,Participation in cultural or research programs,100,['Cultural Exchange'],USD,Brazil,['Cultural Exchange']
Transit Visa,Transit,Travel through Brazil to another destination,20,['Transit'],USD,Brazil,['Transit']
Tourist Visa,Tourism/Business,Leisure or short-term visits,100,"['Tourism & Sightseeing', 'Business']",USD,Chile,"['Tourism & Sightseeing', 'Business']"
Business Visa,Tourism/Business,Commercial visits and agreements,150,['Business'],USD,Chile,['Business']
Work Visa,Work,Employment in Chilean entities,160,['Work/Employment'],USD,Chile,['Work/Employment']
Student Visa,Study,University or research enrollment,100,"['Study', 'Cultural Exchange']",USD,Chile,"['Study', 'Cultural Exchange']"
Temporary Resident Visa,,"Family, work, or study-related longer stays",200,"['Family / Friends-related', 'Study', 'Work/Employment', 'Residency']",USD,Chile,"['Family / Friends-related', 'Study', 'Work/Employment', 'Residency']"
Transit Visa,Transit,Passing through Chile,30,['Transit'],USD,Chile,['Transit']
Tourist Visa,Tourism/Business,"Leisure, family, and cultural visits",51,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']",USD,Mexico,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Business Visa,Tourism/Business,Short-term business activities,51,['Business'],USD,Mexico,['Business']
Work Visa,Work,Employment contracts (temporary or permanent),290,"['Work/Employment', 'Residency']",USD,Mexico,"['Work/Employment', 'Residency']"
Student Visa,Study,Full-time academic studies,48,['Study'],USD,Mexico,['Study']
Temporary Resident Visa,,"Stays >180 days for work, study, or family",48,"['Family / Friends-related', 'Study', 'Work/Employment', 'Residency']",USD,Mexico,"['Family / Friends-related', 'Study', 'Work/Employment', 'Residency']"
Transit Visa,Transit,Crossing Mexico to another country,25,['Transit'],USD,Mexico,['Transit']
